Station,date,Sample Type,Field Specific Conductivity,Date,Parameter,Units,Qualifier,Result,ResultAvg
J01-9377-1,05/16/2023,Total,540,2023-05-16,"2,4'-DDD",ng/L,<,1,1
J01-10004-1 (J01P01),05/16/2023,Total,1966,2023-05-16,"2,4'-DDD",ng/L,<,1,1
J01-9377-1,05/16/2023,Dissolved,NA,2023-05-16,"2,4'-DDD",ng/L,NA,0,0
J01-10004-1 (J01P01),05/16/2023,Dissolved,NA,2023-05-16,"2,4'-DDD",ng/L,NA,0,0
L04-266-5,05/18/2023,Total,5239,2023-05-18,"2,4'-DDD",ng/L,<,1,1
L04-672-1,05/18/2023,Total,5722,2023-05-18,"2,4'-DDD",ng/L,<,1,1
I01-11343-2 (I02P18),05/18/2023,Total,7917,2023-05-18,"2,4'-DDD",ng/L,<,1,1
L04-672-1,05/18/2023,Dissolved,NA,2023-05-18,"2,4'-DDD",ng/L,NA,0,0
L04-266-5,05/18/2023,Dissolved,NA,2023-05-18,"2,4'-DDD",ng/L,NA,0,0
I01-11343-2 (I02P18),05/18/2023,Dissolved,NA,2023-05-18,"2,4'-DDD",ng/L,NA,0,0
L03-662-3 (L03P16),05/18/2023,Total,3405,2023-05-18,"2,4'-DDD",ng/L,<,1,1
L03-214-2 (L03P18),05/18/2023,Total,4786,2023-05-18,"2,4'-DDD",ng/L,<,1,1
L03-316-3 (L03P12),05/18/2023,Total,6941,2023-05-18,"2,4'-DDD",ng/L,<,1,1
L03-662-3 (L03P16),05/18/2023,Dissolved,NA,2023-05-18,"2,4'-DDD",ng/L,NA,0,0
L03-316-3 (L03P12),05/18/2023,Dissolved,NA,2023-05-18,"2,4'-DDD",ng/L,NA,0,0
L03-214-2 (L03P18),05/18/2023,Dissolved,NA,2023-05-18,"2,4'-DDD",ng/L,NA,0,0
L03-418-8,05/23/2023,Total,2225,2023-05-23,"2,4'-DDD",ng/L,<,1,1
K01-12177-1 (K01P07),05/23/2023,Total,2584,2023-05-23,"2,4'-DDD",ng/L,<,1,1
K01-12156-4 (SCNK01),05/23/2023,Total,5134,2023-05-23,"2,4'-DDD",ng/L,NA,0,0
J03-9221-1 (J03P02),05/23/2023,Total,6748,2023-05-23,"2,4'-DDD",ng/L,<,1,1
J01-9224-1 (J01P24),05/23/2023,Total,2908,2023-05-23,"2,4'-DDD",ng/L,<,1,1
J01-9224-2 (J01P25),05/23/2023,Total,3293,2023-05-23,"2,4'-DDD",ng/L,<,1,1
L03-418-8,05/23/2023,Dissolved,NA,2023-05-23,"2,4'-DDD",ng/L,NA,0,0
K01-12177-1 (K01P07),05/23/2023,Dissolved,NA,2023-05-23,"2,4'-DDD",ng/L,NA,0,0
J03-9221-1 (J03P02),05/23/2023,Dissolved,NA,2023-05-23,"2,4'-DDD",ng/L,NA,0,0
J01-9224-1 (J01P24),05/23/2023,Dissolved,NA,2023-05-23,"2,4'-DDD",ng/L,NA,0,0
J01-9224-2 (J01P25),05/23/2023,Dissolved,NA,2023-05-23,"2,4'-DDD",ng/L,NA,0,0
